date,flag,user,text,id,target
Wed Jun 03 03:47:24 PDT 2009,NO_QUERY,mayhemstudios,"@JennaMadison awww, thanks . I like you too, always funny! ",1325379,1
Mon Jun 01 05:54:18 PDT 2009,NO_QUERY,ruralmama,&quot;The man&quot; is gone for a week. Pouting! ,275675,0
Wed Jun 17 17:34:38 PDT 2009,NO_QUERY,princesslaylah,stupid itunes keeps crashing so i can't update my iphone  guess i'll have to wait!,583702,0
Fri May 29 11:43:58 PDT 2009,NO_QUERY,candace_lea,is ready for the weekend! ,1058019,1
Mon Jun 15 12:45:11 PDT 2009,NO_QUERY,joluvs2shop,"@schofe must be great getting all the freebies, any you don't want i'm always here ",1545430,1
Tue Apr 21 02:01:07 PDT 2009,NO_QUERY,moon_ique,miss my sister ,39783,0
Tue Jun 16 04:40:19 PDT 2009,NO_QUERY,mercydrops,@havenofbliss - that's the idea... ,1588985,1
Sun May 17 10:57:00 PDT 2009,NO_QUERY,joshnesbit,I am extremely excited about what *could* happen tomorrow. I'm going to need a little help. ,964806,1
Tue Jun 16 02:12:31 PDT 2009,NO_QUERY,hannahh01,miss ally bjornberg is amazing ,1581947,1
Mon Jun 15 03:16:02 PDT 2009,NO_QUERY,SarahALSmith,@keisha_buchanan and hello to you too ,1520648,1
Sun May 31 06:56:09 PDT 2009,NO_QUERY,OMFGilySydney,"chillin'  About to go to church. Then, my sister is having a graduation party thing. You're square, cause you ain't there.",1171544,1
Wed Jun 17 12:42:24 PDT 2009,NO_QUERY,ChelsRed,"jesus christ, gotta love it when you are having a &quot;I can't type today&quot; moment ",575908,0
Fri May 29 18:17:41 PDT 2009,NO_QUERY,leleana,Watching the interview Zach Levi gave Collider @ subway.  Love him!,1073183,1
Wed Jun 03 02:30:32 PDT 2009,NO_QUERY,DriesDeRoeck,@KarinSlegers what if I buy it and remove the foogly beanbag then? ,1321837,1
Thu Jun 18 10:13:52 PDT 2009,NO_QUERY,twelveoh1,"HIII MY BABY REALLY DON'T WANT ME ALRRRRRR ~  Sad not. BREAK UP BREAK UP, HAHAHAHA.",612614,0
Mon Jun 01 00:32:00 PDT 2009,NO_QUERY,eatthedocument,@makebelievetree I know! They had to come the same day as fotc  damn them.,267252,0
Wed Jun 03 06:56:20 PDT 2009,NO_QUERY,soulville21,boo at no one told me Janeane Garafolo  was doing stand up... only crud seats left. ,347685,0
Tue Jun 16 20:20:41 PDT 2009,NO_QUERY,LunarHavok,@MalloryDuVal how doni get ustream to see the USB can? It only picks up the built in cam ,545591,0
Sun Jun 07 12:53:31 PDT 2009,NO_QUERY,BLACKMARS,see u later my friend !!!! ,1484880,1
Sun May 31 15:29:53 PDT 2009,NO_QUERY,diannehotchkiss,Ano twitter is not made 4 moanin but ma feet r stingin!  stupid god damn blisters a nees nu feet! Hmm...,256059,0
Sun May 17 10:02:49 PDT 2009,NO_QUERY,shelbysnyder,Hahah New York Goes To Work is the best show. She literally just asked if the pigs on the farm were suppose to be at school.  shelby ,961664,1
Fri May 01 20:55:43 PDT 2009,NO_QUERY,MsVFAB,@dlueking I'm not in Kentucky!  I am just going to the local track in CLE for the Kentucky Derby party.  I'm placing some serious bets. ,859367,1
Tue Jun 02 22:57:47 PDT 2009,NO_QUERY,rajatdeshpande,Dealing with .. presentation goose bumps ,334359,0
Sun Jun 21 06:49:16 PDT 2009,NO_QUERY,mcdanger,all my west coast friends that I want to sms to stave off boredom at the airport r asleep  someone im me!,738721,0
Mon Jun 15 11:18:15 PDT 2009,NO_QUERY,miamishyner,@rebecca1121 I hear that punching the next person you see in the face is comforting. ,1542438,1
Mon Jun 01 04:38:04 PDT 2009,NO_QUERY,nmarvel,"@MarleeMatlin SO excited to find your book @ the BX here on Ramstein AB, Germany! Can't wait 2 get started! ps..am i one of the furthest? ",1222989,1
Sat Apr 18 10:15:21 PDT 2009,NO_QUERY,livestrong__x,i wonder where he is ,12603,0
Sat May 30 19:56:54 PDT 2009,NO_QUERY,megmaddymom,Just got her 3 little Norwexicans to bed!  Mommy Time  ,1140431,1
Fri Jun 19 10:10:32 PDT 2009,NO_QUERY,chatvert182,@chelseasms  you killed me with that...,657043,0
Sun Jun 07 11:21:10 PDT 2009,NO_QUERY,tweeteradder14,@twittterkingz Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,1480592,1
Wed Jun 17 23:54:52 PDT 2009,NO_QUERY,LeanneDude,@shanedawson me too  sprint is gross.,596981,0
Sat Jun 06 12:56:17 PDT 2009,NO_QUERY,Monicarrrr,haha i'm watching take that at the o2 oh i miss it ,400394,0
Tue Jun 02 05:08:14 PDT 2009,NO_QUERY,zilch,@PekYee welcome to twitter! ,1290690,1
Fri Jun 05 21:48:02 PDT 2009,NO_QUERY,DisneyLover0,Sooooooooo tired!! Yelling keeping me awake  ...parents.,375001,0
Mon Jun 15 19:58:36 PDT 2009,NO_QUERY,Gary200,Playing 1 vs 100 over Xbox Live now. Room is already full with my friends. ,1564117,1
Sun May 03 08:56:23 PDT 2009,NO_QUERY,cryssyfarm,@rokdeisel yeah i need a little tweetin therapy haha ,889149,1
Sun Jun 07 08:22:24 PDT 2009,NO_QUERY,Angel42579,@DanielLeclair glad to hear it ,1472111,1
Mon Jun 15 00:46:23 PDT 2009,NO_QUERY,Kylz78,I am all moved in... now to unpack it all ,465478,0
Tue Jun 02 20:09:33 PDT 2009,NO_QUERY,Kaitlin2_2,@lovinglifelady very cute saying ,1307062,1
Wed Jun 17 00:30:01 PDT 2009,NO_QUERY,jebulldog117,Apple is laughing at all of us waiting for OS 3 all night long! FFFFUUUUU ,554086,0
Tue Jun 23 09:45:54 PDT 2009,NO_QUERY,shleanna,First day of summer school  ew,760670,0
Thu Jun 18 13:24:07 PDT 2009,NO_QUERY,robitter,"@Alliewayyy never heard of those poor people...I didn't even know that they exist, ",618674,0
Sun May 31 15:15:47 PDT 2009,NO_QUERY,lizzy131,go away hayfever ,255558,0
Tue Jun 02 22:31:56 PDT 2009,NO_QUERY,NicoleBickers,Thunder. Lightening. Rain. ZzZz's Alone In My Bed. ,333583,0
Sun May 31 18:02:20 PDT 2009,NO_QUERY,brooklynlovee,@mitchelmusso i cant wait to go and buy it on tuesday ,1202824,1
Thu Jun 18 23:09:39 PDT 2009,NO_QUERY,jbond64,My Internet connection is dead. Hopefully it'll be back on soon. ,638576,0
Tue Jun 02 08:20:58 PDT 2009,NO_QUERY,thespitfire,"went to the castle museum today. walked down a victorian street, read a newspaper and then ate a sugar mouse ",1297483,1
Sun May 10 07:32:38 PDT 2009,NO_QUERY,Luke_mills91,Having to do 6 hours worth of exam papers on a sunday is not my idea of fun ,88358,0
Sun May 03 04:12:22 PDT 2009,NO_QUERY,loveistoartas,good bonding time at relay for life. ,883728,1
Wed Jun 03 00:51:53 PDT 2009,NO_QUERY,lovenadav,loved the new 4 Canadian tourism commercials http://bit.ly/c4PFl  oooooooooooooooooooo ,1317136,1
Fri May 29 15:54:19 PDT 2009,NO_QUERY,SpokeWithPics,"@Trishinspace Yes, at this place in time I can commit to that. ",1067043,1
Sun Jun 07 07:07:13 PDT 2009,NO_QUERY,dwntwnlits,Weekend wrapping up ,432521,0
Mon Jun 15 10:00:51 PDT 2009,NO_QUERY,weddingmoment,Check this power Twitter Follow tool  http://www.tweetpopular.com/weddingmoment,1539332,1
Fri Jun 05 16:30:46 PDT 2009,NO_QUERY,vanessamarie2,glad its the weekend ,1362005,1
Mon Jun 15 21:57:43 PDT 2009,NO_QUERY,mini_sites,"@wannadevelop What happens after the first few months, you move everything to WordPress?  You'd have to convert all the &quot;designs&quot; ",1569843,1
Thu Jun 18 14:56:41 PDT 2009,NO_QUERY,Greenybear,is now 22 ,621502,0
Mon Jun 01 14:52:35 PDT 2009,NO_QUERY,BBQAddictsJason,@queenkv I'll let @PowerofNo know that Nor Cal needs a hefty dose of BBQ!!!!  ,1250582,1
Thu May 28 22:32:41 PDT 2009,NO_QUERY,yaseminx3,wearing my I&lt;3NY tshirt  ready for school.. in a sec ;P ttyl(: @shaunmichaelb go to bed.;P love you. xox,1038833,1
Fri May 29 22:22:34 PDT 2009,NO_QUERY,PhuongThyTran,@vienwin: You!! Where are you? Why aren't you picking up my calls? ,188289,0
Sat May 30 15:13:40 PDT 2009,NO_QUERY,IndieChavv,@Xxleelee Leeanne sweetheart!!! ;P How have you been? we aint spoke in a while  x,215414,0
Mon Jun 01 20:00:35 PDT 2009,NO_QUERY,sethi616,oh how i love it in CA. train rides are fun ,1264782,1
Sun Apr 19 06:08:53 PDT 2009,NO_QUERY,elcario,@heartnsoul Congratulations! Go for another 13 years and more! ,833712,1
Thu Jun 25 10:17:44 PDT 2009,NO_QUERY,worldbutterfly,sad for the loss of Farrah Fawcett after such a long battle with cancer. ,799584,0
Mon May 18 07:34:37 PDT 2009,NO_QUERY,tee_tuhm,"@muchado1104 By the way, nice way to nerd it up in your new photo  ",998150,1
Mon Jun 15 04:10:31 PDT 2009,NO_QUERY,nicozzle,listening to candles(hey monday).. ,471075,0
